date,poids
2025-06-22,71.30
2025-06-23,72.10
2025-06-24,71.40
2025-06-25,71.60
2025-06-26,71.80
2025-06-27,71.60
2025-06-28,71.10
2025-06-29,71.20
2025-06-30,72.20
2025-07-01,71.70
2025-07-02,71.40
2025-07-03,71.00
2025-07-04,70.80
2025-07-05,70.20
2025-07-06,70.60
2025-07-07,70.40
2025-07-08,70.90
2025-07-09,71.10
2025-07-10,71.30
2025-07-11,70.80
2025-07-12,70.80
2025-07-13,70.80
2025-07-14,71.80
2025-07-15,70.80
2025-07-16,69.50
2025-07-17,71.10
2025-07-18,71.50
2025-07-19,71.90
2025-07-20,71.30
2025-07-21,70.60
2025-07-22,71.10
2025-07-23,71.90
2025-07-24,72.00
2025-07-25,72.20
2025-07-26,72.30
2025-07-27,71.50
2025-07-28,71.70
2025-07-29,72.00
2025-07-30,72.30
2025-07-31,72.50
2025-08-01,72.90
2025-08-02,72.40
2025-08-03,73.00
2025-08-04,73.10
2025-08-05,72.50
2025-08-06,72.60
2025-08-07,72.40
2025-08-08,73.00
2025-08-09,73.30
2025-08-10,73.00
2025-08-11,72.50
2025-08-12,72.80
2025-08-14,72.70
2025-08-15,73.00
2025-08-17,73.80
2025-08-18,73.90
2025-08-19,73.00
2025-08-20,74.00
2025-08-21,74.00
2025-08-22,74.20
2025-08-23,74.30
2025-08-24,73.50
2025-08-25,73.40
2025-08-26,73.10
2025-08-27,73.20
2025-08-28,73.70
2025-08-29,74.10
2025-08-30,73.20
2025-08-31,74.10
2025-09-01,74.30
2025-09-02,73.90
2025-09-03,73.80
2025-09-04,74.10
2025-09-05,74.40
2025-09-06,73.30
2025-09-07,73.80
2025-09-08,74.30
2025-09-09,73.70
2025-09-10,73.20
2025-09-11,73.00
2025-09-12,73.20
2025-09-13,71.90
2025-09-14,72.20
2025-09-15,73.70
2025-09-16,73.10
2025-09-17,73.50
2025-09-18,73.10
2025-09-19,73.10
2025-09-20,72.10
2025-09-21,73.00
2025-09-22,73.60
2025-09-24,74.20
2025-09-26,75.20
2025-09-27,74.30
2025-09-29,75.20
2025-10-04,74.40
2025-10-05,75.20
2025-10-06,74.90
2025-10-07,74.70
2025-10-08,74.60
2025-10-09,74.40
2025-10-10,74.50
2025-10-11,75.00
2025-10-12,75.30
2025-10-13,75.60
2025-10-14,74.90
2025-10-15,74.70
2025-10-16,74.70
2025-10-17,74.30
2025-10-18,74.10
2025-10-19,73.80
2025-10-20,73.90
2025-10-21,73.90
2025-10-22,73.90
2025-10-23,73.70
2025-10-24,73.90
2025-10-25,74.60
2025-10-26,75.90
2025-10-27,74.20
2025-10-28,74.10
2025-10-29,74.60
2025-10-30,74.70
2025-10-31,74.60
2025-11-01,74.90
2025-11-02,75.10
2025-11-03,74.10
2025-11-04,74.50
2025-11-05,74.60
2025-11-06,74.80
2025-11-07,74.80
2025-11-08,75.60
2025-11-09,75.70
2025-11-10,77.20
2025-11-11,76.40
2025-11-12,76.60
2025-11-13,76.10
2025-11-14,75.90
2025-11-15,76.50
2025-11-16,76.70
2025-11-17,75.30
